epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,465.783,1.63082,2.01266,1.69112,0.41115,0.49483,0.41335,0.23574,1.54425,1.58954,1.60091,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,480.969,1.6216,2.00083,1.68281,0.473,0.52031,0.48527,0.27783,1.43649,1.45059,1.54002,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,496.037,1.59764,1.97697,1.67228,0.54749,0.46135,0.4875,0.28206,1.45047,1.4723,1.53197,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,511.135,1.5876,1.95969,1.66238,0.53903,0.42855,0.44885,0.2658,1.41958,1.42684,1.48125,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,526.346,1.59649,1.96056,1.6605,0.59374,0.43802,0.47543,0.29253,1.43578,1.39288,1.50457,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,541.541,1.57756,1.92463,1.65005,0.60741,0.48318,0.48745,0.28983,1.44352,1.43943,1.51156,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,556.701,1.58763,1.92955,1.65427,0.55121,0.46808,0.47903,0.28994,1.43339,1.42594,1.50196,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,571.957,1.5624,1.90772,1.63594,0.49139,0.49188,0.48847,0.29063,1.44906,1.44612,1.52228,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,586.982,1.57615,1.92094,1.6453,0.47499,0.54573,0.47175,0.29418,1.41305,1.38671,1.51112,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,602.129,1.56025,1.89691,1.63092,0.61349,0.50615,0.52659,0.31722,1.37792,1.33981,1.4684,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
40,617.35,1.55523,1.87798,1.62696,0.6021,0.51649,0.49304,0.29184,1.4018,1.42148,1.50054,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
41,632.727,1.54867,1.85879,1.62357,0.55962,0.50826,0.49006,0.28867,1.43809,1.35984,1.51124,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
42,647.789,1.52884,1.8408,1.60061,0.50104,0.48465,0.49662,0.29677,1.40503,1.36138,1.47803,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,662.993,1.54013,1.83938,1.60616,0.61106,0.48548,0.49291,0.30376,1.39138,1.38016,1.49385,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
44,678.057,1.53375,1.82709,1.60474,0.59151,0.46209,0.48553,0.27456,1.42514,1.38353,1.49615,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
45,693.432,1.51597,1.81322,1.59049,0.63432,0.56248,0.5618,0.32982,1.40584,1.33125,1.47406,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
46,708.32,1.50134,1.79238,1.58337,0.67888,0.49294,0.52125,0.32205,1.3912,1.32777,1.48917,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,723.473,1.49439,1.78692,1.57846,0.48965,0.53773,0.52327,0.31782,1.42422,1.36471,1.50112,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
48,738.519,1.50536,1.78398,1.57612,0.58361,0.55352,0.52719,0.33014,1.36915,1.29924,1.45163,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
49,753.703,1.48037,1.77209,1.57433,0.58652,0.4526,0.50317,0.31721,1.36283,1.30815,1.46747,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
50,768.783,1.49169,1.75845,1.57194,0.65558,0.52861,0.55598,0.3416,1.40124,1.28699,1.47804,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
51,784.069,1.49535,1.75892,1.57456,0.56725,0.58688,0.57186,0.35088,1.33158,1.28759,1.44145,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
52,799.211,1.48138,1.77068,1.56668,0.6098,0.52349,0.56063,0.34748,1.37109,1.29756,1.45521,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
53,814.416,1.46611,1.72797,1.5509,0.56987,0.55791,0.5479,0.33894,1.38072,1.28485,1.47904,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
54,829.553,1.46553,1.74666,1.55837,0.59116,0.54362,0.55493,0.32491,1.33798,1.28137,1.45259,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
55,844.779,1.46781,1.74255,1.56255,0.52275,0.60449,0.5481,0.32942,1.35447,1.29462,1.45431,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
56,859.955,1.45648,1.71249,1.545,0.64466,0.48512,0.53878,0.33959,1.3587,1.27805,1.47439,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
57,875.135,1.45827,1.70626,1.54541,0.56823,0.55715,0.55262,0.34551,1.34849,1.28498,1.45966,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
58,890.421,1.46994,1.71777,1.55074,0.60027,0.54796,0.5596,0.34766,1.35894,1.25005,1.45612,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
59,905.543,1.44977,1.69236,1.54064,0.64065,0.45529,0.51807,0.32764,1.34342,1.2435,1.45124,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
60,920.833,1.44743,1.6905,1.53836,0.66486,0.5502,0.57111,0.35101,1.36268,1.26643,1.44063,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318
61,935.945,1.43881,1.67982,1.528,0.62018,0.52977,0.56328,0.34943,1.34838,1.25882,1.4371,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
62,951.046,1.43878,1.682,1.53743,0.53422,0.55861,0.52339,0.29654,1.3772,1.27198,1.45405,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922
63,966.122,1.43051,1.65899,1.50716,0.5105,0.55378,0.51564,0.33058,1.33591,1.23867,1.4366,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
64,981.108,1.42362,1.64813,1.51696,0.65071,0.53263,0.54964,0.33874,1.35022,1.26723,1.451,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526
65,996.485,1.42607,1.64525,1.51791,0.596,0.57276,0.54331,0.33525,1.3923,1.238,1.48302,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
66,1011.74,1.42635,1.65336,1.5197,0.51602,0.54396,0.53813,0.32641,1.33314,1.28229,1.43107,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
67,1026.8,1.41207,1.64387,1.51724,0.58713,0.54765,0.55154,0.33938,1.37569,1.23715,1.44484,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
68,1042.22,1.43447,1.66455,1.52451,0.65524,0.53696,0.58961,0.36008,1.32041,1.20297,1.4186,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734
69,1057.15,1.40673,1.64627,1.50822,0.51638,0.5359,0.52304,0.3091,1.36922,1.25178,1.44927,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
70,1072.18,1.41052,1.60411,1.49687,0.64989,0.53372,0.5499,0.35856,1.3046,1.21806,1.41894,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338
71,1087.41,1.40801,1.60863,1.50042,0.69873,0.54734,0.58765,0.35441,1.30485,1.19997,1.40194,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
72,1102.58,1.40352,1.60681,1.50103,0.63082,0.5406,0.57156,0.35204,1.32211,1.19591,1.41256,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942
73,1117.74,1.39814,1.61567,1.49997,0.51905,0.59744,0.5546,0.3489,1.33366,1.22174,1.41311,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
74,1132.74,1.40447,1.60747,1.49675,0.62002,0.58277,0.56807,0.35549,1.34873,1.21391,1.42119,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546
75,1148.04,1.39037,1.61917,1.50825,0.62595,0.54228,0.57489,0.36391,1.32341,1.19598,1.42458,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
76,1163.32,1.39631,1.58236,1.48291,0.68978,0.54851,0.5741,0.34731,1.35727,1.22857,1.45478,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
77,1178.43,1.40433,1.60825,1.49929,0.61058,0.63268,0.60403,0.3743,1.3282,1.16519,1.42924,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
